@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
12/14/2010,72.23,20625900,0.06,2.922,3.572333,10045,0
12/15/2010,71.87,20979000,0.244,1.354,3.146667,10045,0
12/16/2010,71.92,18513900,0.0637,0.596,2.370333,10045,1
12/17/2010,72.11,36761300,-0.022,0.85,2.342,11695,1
12/20/2010,72.24,16045800,-0.254,0.758,1.395,11695,1
12/21/2010,72.43,21772800,-0.102,0.139,1.419,11695,1
12/22/2010,72.94,14606600,0.366,0.305,0.699,11695,1
12/23/2010,72.94,11390900,0.506,0.2197,0.101333,11695,1
12/27/2010,72.81,9757200,0.512,0.21,0.130333,11695,1
12/28/2010,73.2,14423400,0.55,0.063,-0.210333,11695,1
12/29/2010,73.41,11797700,0.6,0.349,0.240667,11695,1
12/30/2010,73.29,10790400,0.22,0.828,1.727,11695,0
12/31/2010,73.16,15273700,0.332,0.929,2.654333,10186,0
1/3/2011,73.72,23320700,0.446,0.829,1.981333,10186,1
1/4/2011,74.71,20028500,0.364,0.937,1.572667,10186,1
1/5/2011,74.67,16550800,0.45,1.015,1.818,10186,0
1/6/2011,74.9,22525300,0.836,0.703,3.268333,10186,1
1/7/2011,75.21,19297700,1.33,0.941,3.025,11564,1
1/10/2011,75.13,20766400,1.264,1.31,3.165333,11564,0
1/11/2011,75.02,15805400,0.39,1.132,3.802,11564,1
1/12/2011,75.94,17363000,0.588,1.149,4.32,11564,1
1/13/2011,76.65,20438100,0.734,1.59,2.724,11564,1
1/14/2011,76.67,23478700,0.73,2.055,2.093333,11725,1
1/18/2011,77.79,23883600,1.26,1.967,2.485333,11725,1
1/19/2011,78.63,21844100,2.086,1.393,2.546,11725,1
1/20/2011,77.98,29121600,1.676,1.767,2.067,11725,0
1/21/2011,78.21,25084400,1.2,1.842,2.316667,11939,1
1/24/2011,78.85,24871600,1.634,1.912,2.374033,11939,1
1/25/2011,78.22,21626300,0.664,2.292,2.464,11939,0
1/26/2011,78.71,25555400,-0.182,2.757,2.450667,11939,1
1/27/2011,79.84,17003500,0.752,2.234,2.874,11939,1
1/28/2011,79.7791,26300600,0.948,1.854,3.490667,11916,0
1/31/2011,79.92,34514400,0.31,2.062,3.678667,11916,1
2/1/2011,81.14,40829600,1.358,1.226,3.770667,11916,1
2/2/2011,83.59,18176900,1.914,0.906,4.032,11916,1
2/3/2011,83.06,19647700,1.534,2.073,4.215,11916,0
2/4/2011,83.25,16558300,2.3069,2.412,4.062333,11857,1
2/7/2011,83.45,15304300,3.024,2.202,4.411667,11857,1
2/8/2011,83.5,17463500,2.454,3.366,4.899333,11857,0
2/9/2011,82.44,15890900,-0.182,3.306,4.841667,11857,0
2/10/2011,81.68,21050500,0.176,2.465,4.936,11857,1
2/11/2011,82.23,15993500,-0.062,2.8579,5.383667,10796,1
2/14/2011,82.07,33108300,-0.354,3.1,5.829,10796,1
2/15/2011,84.79,25684600,-0.208,2.303,5.662,10796,1
2/16/2011,83.06,16673500,0.85,-0.241,4.952667,10796,0
2/17/2011,83.97,17853500,1.838,0.317,5.285667,10796,1
2/18/2011,83.91,22839500,1.424,0.171,5.361667,10341,1
2/22/2011,84.97,32580400,1.92,0.093,5.362333,10341,1
2/23/2011,86,38624600,-0.694,0.194,5.770667,10341,1
2/24/2011,87.2,28577100,1.856,1.663,6.278667,10341,0
2/25/2011,85.79,22230300,1.402,2.765,5.701333,10226,0
2/28/2011,85.87,24507000,1.754,2.429,5.283333,10226,0
3/1/2011,86.41,23001800,0.9,2.86,5.557333,10226,0
3/2/2011,84.59,17423600,-0.258,0.129,4.669333,10226,0
3/3/2011,85.46,17153500,-1.856,2.07,4.041667,10226,1
3/4/2011,85.92,20028600,-0.476,1.373,4.944333,10722,0
3/7/2011,85.84,18062700,-0.608,1.553,4.958667,10722,0
3/8/2011,84.6,17658200,-1.31,0.515,4.51,10722,0
3/9/2011,84.12,13306600,0.47,-0.599,5.340333,10722,0
3/10/2011,83.8,25996300,-0.54,-2.068,5.040333,10722,0
3/11/2011,81.02,17607100,-1.888,-1.117,3.967667,10710,0
3/14/2011,81.67,16383200,-2.4,-1.519,4.103233,10710,1
3/15/2011,80.17,23191300,-1.628,-2.374,4.075333,10710,0
3/16/2011,81.23,33396500,-1.79,-0.895,2.879,10710,0
3/17/2011,80.38,21941300,-2.484,-2.342,0.275667,10710,0
3/18/2011,81.77,28895900,0.252,-3.268,0.730667,11566,1
3/21/2011,81.87,18207000,-0.652,-3.611,0.454333,11566,1
3/22/2011,83.1,16209700,0.94,-2.559,0.239667,11566,1
3/23/2011,82.65,15390600,0.114,-2.283,0.144,11566,0
